stock_code,report_date,field,reason,allowed_base_reason,evidence_ref,registered_at
PSKY,2025-12-31,net_margin,FISCAL_YEAR_CHANGE_STUB,MISSING_MAPPING,2026-08-04,
UHS,2025-12-31,debt_ratio,TOTAL_LIABILITIES_COMPOSITE_TAG,MISSING_MAPPING,2026-08-04,
ADC,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
AEP,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
ALK,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
ARE,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
BEN,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
CUZ,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
CWEN,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
D,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
D,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
DAR,2026-04-04,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
DD,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
DOC,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
DOW,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
DTE,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
EQIX,2026-06-30,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
FR,2026-06-30,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
FTV,2026-04-03,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
HUBB,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
IP,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
IP,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
KIM,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
KMB,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
LII,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
LYFT,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
MDLN,2026-03-28,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
MIDD,2026-04-04,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
MLM,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
MPWR,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
NEE,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
PAG,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
PAG,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
PDD,2024-12-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
PH,2026-03-31,net_income_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
REG,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
RL,2026-03-28,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
RYN,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
STAG,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
STWD,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
SUI,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
TFX,2026-03-31,revenue_ttm,PRIOR_YEAR_COMPONENT_NOT_AVAILABLE_IN_RESTATED,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
THO,2026-04-30,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
WTFC,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,ttm_unexplained_components.csv; latest-restated selector lacks comparable prior-year component,2026-08-04
FRMI,2026-03-31,net_income_ttm,IPO_FISCAL_YEAR_STUB_NO_COMPARABLE_PRIOR_YEAR,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; IPO stub FY2025-01-10 to 2025-12-31; no comparable Q1 prior year,2026-08-04
FRMI,2026-03-31,cfo_ttm,IPO_FISCAL_YEAR_STUB_NO_COMPARABLE_PRIOR_YEAR,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; IPO stub FY2025-01-10 to 2025-12-31; no comparable Q1 prior year,2026-08-04
FRMI,2026-03-31,fcf_ttm,IPO_FISCAL_YEAR_STUB_NO_COMPARABLE_PRIOR_YEAR,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; IPO stub FY2025-01-10 to 2025-12-31; no comparable Q1 prior year,2026-08-04
PSKY,2025-09-30,net_income_ttm,FISCAL_YEAR_CHANGE_STUB,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; FY changed to 2025-08-08 stub; Q3 not comparable,2026-08-04
PSKY,2025-09-30,revenue_ttm,FISCAL_YEAR_CHANGE_STUB,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; FY changed to 2025-08-08 stub; Q3 not comparable,2026-08-04
PSKY,2025-09-30,cfo_ttm,FISCAL_YEAR_CHANGE_STUB,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; FY changed to 2025-08-08 stub; Q3 not comparable,2026-08-04
PSKY,2025-09-30,fcf_ttm,FISCAL_YEAR_CHANGE_STUB,PERIOD_MISMATCH,ttm_52_53_week_ledger.csv; FY changed to 2025-08-08 stub; Q3 not comparable,2026-08-04
FANG,2025-12-31,capex,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; PaymentsToAcquireOilAndGasProperty removed from cash capex canonical mapping; no remaining cash capex tag for FY2025,2026-08-05
FANG,2025-12-31,fcf,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex; no cash capex tag for FY2025,2026-08-05
FANG,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex_ttm; no cash capex component in TTM,2026-08-05
PR,2025-12-31,capex,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; per-stock disallow: OtherPropertyPlantAndEquipment is only a 13.7M sub-line for PR; main drilling/development capex is custom/dimensioned disclosure,2026-08-05
PR,2025-12-31,fcf,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex; no disclosed consolidated cash capex for FY2025,2026-08-05
PR,2026-03-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex_ttm; no cash capex component in TTM,2026-08-05
CCI,2025-12-31,gross_margin,NO_CONSOLIDATED_COGS_DISCLOSURE,MISSING_MAPPING,US_COGS_CONSOLIDATED_SELECTION_TASK.md; FY2025 10-K recast to continuing operations(towers); cost of operations disclosed only via extension-tag component lines(744+255=999M),no us-gaap consolidated COGS; COGSAS=113M is services component(disallowed per-stock),2026-08-05
ADT,2025-12-31,gross_margin,ADT_EXTENSION_TAG_CONSOLIDATED_COGS_INGESTED,NEW_ONLY,US_ADT_CONSOLIDATED_COGS_IMPLEMENTATION_TASK.md; adt:CostofRevenueExcludingDepreciationDepletionandAmortization dimensionless totals(含比较期重述)经 filing-XBRL 白名单链路 ingest(0001703056-22-000042/-23-000046/-23-000146/-24-000020/-25-000022/-26-000022);旧层无扩展 tag 故为旧无新有,2026-08-11
FANG,2026-06-30,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex_ttm; no cash capex component in TTM(Q2 2026 10-Q 后 TTM 滚动,同 2026-03-31 结构),2026-08-11
PR,2026-06-30,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex_ttm; no cash capex component in TTM(Q2 2026 10-Q 后 TTM 滚动,同 2026-03-31 结构),2026-08-11
PDD,2025-12-31,capex,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; no cash capex tag disclosure(FY2025 20-F,与 FY2024 同构;PDD canary Phase C1),2026-08-11
PDD,2025-12-31,fcf,NO_CASH_CAPEX_DISCLOSURE,MISSING_MAPPING,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex; no disclosed consolidated cash capex for FY2025,2026-08-11
PDD,2025-12-31,fcf_ttm,NO_CASH_CAPEX_DISCLOSURE_TTM,MISSING_COMPONENT,US_SNAPSHOT_CAPEX_MAPPING_TASK.md; derived from capex_ttm; no cash capex component in TTM,2026-08-11
