stock_code,evidence_ref,first_confirmed,review_by
CRDO,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
CRWV,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
DOCN,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
ECHO,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
FDXF,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
GLOB,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
HONA,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
JAN,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
MWH,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
NU,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
ONON,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
OZK,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
P,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
PPLI,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
SPCX,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
SPOT,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
TIGO,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
VGNT,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
VIK,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
XE,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
XP,"RUSSELL1000 指数成分解析存在但不在 stock_info US universe(2026-08-11 对账,universe=1003/index=1013);纳入 universe 或移出指数范围前不阻断",2026-08-11,2026-11-11
